id,name,neighbourhood,host_name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16395724,"MTLVR #05 | Fully equipped 3BR, 10min to downtown",Le Plateau-Mont-Royal,Yann,45.52235,-73.59558,Entire home/apt,220.0,31.0,206.0,3/14/24,2.34,19,195,43.0,"295227, expires: 2024-12-31"
16402905,Perfect spot little italy/mile-end,Rosemont-La Petite-Patrie,Sandrine,45.53074,-73.60882,Entire home/apt,215.0,3.0,19.0,3/12/24,0.23,1,113,10.0,"314908, expires: 2024-08-10"
16442798,"Free private parking, Cozy 1BR,  1 min from subway",Ahuntsic-Cartierville,Antoine,45.54663,-73.63861,Entire home/apt,105.0,2.0,482.0,3/10/24,5.47,2,94,65.0,"298717, expires: 2024-11-30"
16443677,"FREE PARKING, Cozy 2 BR, 1 min from subway!",Ahuntsic-Cartierville,Antoine,45.54656,-73.63873,Entire home/apt,112.0,2.0,469.0,3/7/24,5.32,2,73,75.0,"298717, expires: 2024-11-30"
16458568,O 55,Ville-Marie,Jean-Michel,45.51486,-73.55829,Entire home/apt,330.0,31.0,99.0,6/19/23,1.13,6,365,1.0,
16476843,"MTLVR #04 | Plateau, A/C, BBQ, sunny patio!",Le Plateau-Mont-Royal,Yann,45.52981,-73.5758,Entire home/apt,188.0,31.0,139.0,3/3/24,1.63,19,233,35.0,"292353, expires: 2025-02-28"
16518371,Liv MTL Plaza-2 Big Bachelor Loft Poker & Foosball,Rosemont-La Petite-Patrie,Liv MTL,45.53576609,-73.60475923,Entire home/apt,1310.0,2.0,88.0,3/10/24,1.07,47,326,13.0,"298469, expires: 2024-12-31"
16518809,1 bdroom downtown condo w garage in extra,Ville-Marie,Olga,45.51091,-73.56806,Entire home/apt,166.0,2.0,150.0,9/24/23,1.78,3,85,13.0,"317015, expires: 2025-02-14"
16619748,Bedroom with den near Metro Vendome & CUSM hospita,Côte-des-Neiges-Notre-Dame-de-Grâce,Frederick,45.46975,-73.60893,Private room,42.0,1.0,237.0,3/8/24,2.78,3,46,72.0,"295173, expires: 2025-01-31"
16665026,Liv MTL Plaza-3 Big Bachelor Loft Poker & Foosball,Rosemont-La Petite-Patrie,Liv MTL,45.53582887,-73.60402119,Entire home/apt,1277.0,2.0,74.0,9/4/23,0.9,47,333,6.0,"298469, expires: 2024-12-31"
16749373,2 floor apt 4 br and 2 btr - Jean-Talon Market,Villeray-Saint-Michel-Parc-Extension,Isabelle,45.535839,-73.617432,Entire home/apt,425.0,31.0,21.0,1/4/24,0.26,1,17,3.0,"307474, expires: 2024-10-31"
16790852,mtlFlats | 1BR in the ❤ of Mtl! Monthly discounts,Le Plateau-Mont-Royal,Frank,45.52889,-73.57874,Entire home/apt,92.0,1.0,267.0,2/24/24,3.08,7,295,62.0,"295154, expires: 2024-12-31"
16795260,Vie de quartier,Villeray-Saint-Michel-Parc-Extension,Guilaine,45.5479944,-73.6095133,Private room,85.0,1.0,16.0,3/14/24,2.12,1,176,16.0,"314803, expires: 2024-08-03T00:00:00Z"
16837762,Duplex with rooftop terrace and BBQ for groups.,Le Plateau-Mont-Royal,Brad & Dan,45.51996,-73.57329,Entire home/apt,736.0,31.0,52.0,8/20/23,0.6,3,115,2.0,"281470, expires: 2025-02-28"
16923873,Boutique condo in the heart of Downtown Montreal,Ville-Marie,Rodney,45.4963,-73.56968,Entire home/apt,125.0,31.0,40.0,4/22/23,0.46,1,286,1.0,
16984430,Room 301 | Maison Saint-Vincent,Ville-Marie,Maisons & Co,45.50684,-73.55306,Hotel room,193.0,1.0,45.0,4/3/22,0.53,22,222,0.0,"222574, expires: 2024-05-31"
16984967,"Charming 3 bedrooms, 2 bathrooms, private parking",Ville-Marie,Sidonie,45.53343036,-73.55675832,Entire home/apt,300.0,2.0,130.0,1/6/24,1.72,3,154,17.0,"301142, expires: 2024-05-31"
17007706,"MTLVR #03 | Stay-Dream-Explore, Plateau, 1.5 Ba",Le Plateau-Mont-Royal,Yann,45.52714,-73.57775,Entire home/apt,169.0,31.0,120.0,3/11/24,1.39,19,227,30.0,"295320, expires: 2025-01-31"
17022766,Brownstone Home in heart of Montreal!,Ville-Marie,Patty,45.49522,-73.57244,Entire home/apt,429.0,2.0,102.0,3/10/24,1.23,2,283,32.0,"301521, expires: 2024-05-31"
17024331,Room 302 | Maison Saint-Vincent,Ville-Marie,Maisons & Co,45.50712,-73.55461,Hotel room,193.0,1.0,29.0,10/2/21,0.35,22,193,0.0,"222574, expires: 2024-05-31"
17024822,Room 303 | Maison Saint-Vincent,Ville-Marie,Maisons & Co,45.50712,-73.55483,Hotel room,193.0,1.0,32.0,12/4/21,0.38,22,193,0.0,"222574, expires: 2024-05-31"
17077842,LE BALDWIN,Mercier-Hochelaga-Maisonneuve,Rosemarie,45.60317,-73.5272,Entire home/apt,95.0,2.0,255.0,3/9/24,2.95,1,122,46.0,"294621, expires: 2024-09-30"
17133410,Chambre canadienne,Rosemont-La Petite-Patrie,Laetitia,45.54727,-73.5781,Private room,24.0,31.0,13.0,7/31/23,0.17,4,120,2.0,
17133570,Chambre aux vélos,Rosemont-La Petite-Patrie,Laetitia,45.54749,-73.57811,Private room,25.0,31.0,14.0,12/15/23,0.17,4,177,2.0,
17175849,LoFT MILE END,Le Plateau-Mont-Royal,Gerardo,45.52772141,-73.60266113,Shared room,564.0,1.0,346.0,1/13/24,4.02,1,281,21.0,"307496, expires: 2024-10-31"
17222075,Industrial-Modern style- Down Town (3),Ville-Marie,Lise,45.50582,-73.56182,Entire home/apt,90.0,31.0,10.0,9/2/23,0.12,3,297,3.0,
17232251,L'appartement.,Le Sud-Ouest,Michael,45.49238,-73.55948,Entire home/apt,69.0,1.0,50.0,3/3/24,0.59,8,137,26.0,"294243, expires: 2024-11-30T20:24:45Z"
17279576,"Beautiful apartment, central and peaceful",Verdun,Olivier,45.4584,-73.57043,Entire home/apt,120.0,5.0,12.0,12/31/22,0.15,1,39,0.0,"316436, expires: 2024-12-03"
17347436,Gorgeous studio Overlooking the city!,Ville-Marie,Ayman,45.52117,-73.56546,Entire home/apt,500.0,31.0,51.0,1/1/18,0.59,1,180,0.0,
17378280,spacy and clean - trendy shops restaurant metro,Mercier-Hochelaga-Maisonneuve,Host-Me,45.54238,-73.54837,Entire home/apt,79.0,2.0,56.0,3/8/24,0.66,18,299,14.0,"299998, expires: 2024-11-30"
17381053,Beautiful fully equipped 2 bedrooms appartment,LaSalle,Svetlana,45.42946,-73.60459,Entire home/apt,60.0,31.0,92.0,11/19/23,1.08,1,173,3.0,
17405977,Spacious Apartment Mile-Ex.,Rosemont-La Petite-Patrie,Nicolas,45.5326,-73.61787,Entire home/apt,414.0,4.0,11.0,8/23/23,0.14,1,43,3.0,"307067, expires: 2024-09-30"
17432201,Beautiful functional home great for families,Dorval,Francois,45.4479,-73.77533,Entire home/apt,527.0,31.0,19.0,9/8/19,0.23,1,364,0.0,
17443756,"42 FLOOR, METRO Lucien l'Allier direct access",Ville-Marie,Eric,45.49595,-73.57071,Entire home/apt,120.0,31.0,36.0,9/1/23,0.43,1,120,2.0,
17474455,Luminous space in CDN! Entire place,Côte-des-Neiges-Notre-Dame-de-Grâce,Dorothée,45.49509,-73.62865,Entire home/apt,85.0,31.0,38.0,8/1/22,0.45,3,317,0.0,
17481919,Quiet peace of heavent in the heart of Montreal,Le Plateau-Mont-Royal,Julie,45.52524,-73.58869,Entire home/apt,80.0,31.0,4.0,7/8/18,0.05,1,50,0.0,
17493869,Room 304 | Maison Saint-Vincent,Ville-Marie,Maisons & Co,45.5063,-73.55477,Hotel room,193.0,1.0,31.0,11/28/21,0.37,22,179,0.0,"222574, expires: 2024-05-31"
