id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6186448,Bright 850 Sq ft loft - Plateau,23262312,Marc,,Le Plateau-Mont-Royal,45.53464,-73.57172,Entire home/apt,90,1,250,1/22/24,2.31,2,188,42,"308163, expires: 2024-12-31"
6238159,Loft in the heart of the plateau!,2666170,Alex,,Le Plateau-Mont-Royal,45.53319,-73.58308,Entire home/apt,70,31,302,12/31/23,2.81,2,143,3,
6249151,appart  à 2 mn du Métro Mont Royal,32450186,Amelle,,Le Plateau-Mont-Royal,45.52682,-73.58061,Entire home/apt,199,3,196,3/18/24,1.82,2,269,48,"277922, expires: 2024-06-01T00:00:00Z"
6298626,Mi Casa es Tu cAsa!,32753324,Marianne,,Rosemont-La Petite-Patrie,45.53952,-73.6095,Entire home/apt,128,2,143,1/4/24,1.33,1,8,8,"310063, expires: 2024-04-30T12:24:23Z"
6299948,Industrial-modern style- Down Town (2),32760952,Lise,,Ville-Marie,45.50677,-73.56193,Entire home/apt,85,31,13,12/15/19,0.14,3,203,0,
6302619,Gorgeous 2 BR Outremont/Mile End,3502134,Erin,,Outremont,45.52318,-73.61257,Entire home/apt,125,31,67,9/14/23,0.63,1,103,3,
6309620,Anderson apartment 2 Beds 6H: Cozy and spacious,15736663,Myriam,,Ville-Marie,45.50449,-73.5625,Entire home/apt,378,1,50,11/26/23,0.47,13,246,14,"221311, expires: 2024-04-30"
6316223,The Fullum on the Plateau -2 floors,11403031,Sophie,,Le Plateau-Mont-Royal,45.53742,-73.56719,Entire home/apt,189,7,36,2/25/24,0.34,1,203,17,"323931, expires: 2024-05-08"
6421886,Une chambre sous la terrasse,2824051,Pierre-Henri,,Mercier-Hochelaga-Maisonneuve,45.54129,-73.54196,Private room,65,31,11,8/31/23,0.1,1,235,1,
6424036,AMAZING loft w/view + Parking,3664287,S.,,Ville-Marie,45.50876,-73.55246,Entire home/apt,90,90,255,10/29/23,2.4,1,243,6,
